Station_Name,Date_Opened,Latitude,Longitude
Lynnwood City Center,8/30/2024,47.816111,-122.296389
Mountlake Terrace,8/30/2024,47.785556,-122.314722
Shoreline North,8/30/2024,47.764167,-122.322778
Shoreline South,8/30/2024,47.736111,-122.325278
Northgate,10/2/2021,47.703056,-122.328056
Roosevelt,10/2/2021,47.676667,-122.315556
U District,10/2/2021,47.660556,-122.314167
University of Washington,3/19/2016,47.649722,-122.303889
Capitol Hill,3/19/2016,47.618611,-122.320278
Westlake,7/18/2009,47.611389,-122.337222
Pioneer Square,7/18/2009,47.602778,-122.331389
International District/Chinatown,7/18/2009,47.598333,-122.328056
Stadium,7/18/2009,47.591333,-122.327167
SODO,7/18/2009,47.581278,-122.327389
Beacon Hill,7/18/2009,47.579444,-122.311389
Mount Baker,7/18/2009,47.576583,-122.297694
Columbia City,7/18/2009,47.559444,-122.2925
Othello,7/18/2009,47.537917,-122.281528
Rainier Beach,7/18/2009,47.522611,-122.279361
Tukwila/International Boulevard,7/18/2009,47.464167,-122.288056
Angle Lake,9/24/2016,47.422778,-122.2975
Kent Des Moines,12/6/2025,47.389444,-122.294444
Star Lake,12/6/2025,47.359167,-122.297778
Federal Way,12/6/2025,47.315833,-122.303889
